1,La Bombonera,Jr. Los Hornos 456,Los Olivos,987654321,Infantas,90,7
2,La 10,Av. Trapiche 1086,Comas,123456789,Trapiche,80,7
3,Peloteropolis,Av. Trapiche 567,Comas,987654321,Trapiche,80,9
4,Salazar Bondy,Jr. Corbacho 432,Comas,123456,Las Vegas,120,11
5,El Remanso,"Los Huertos de Tungasuca Lt. 67 Comas Lima - Perú, altura del km. 4.5 de la Av. Trapiche",Comas,543 6053,Trapiche,80,8
6,Campo Deportivo el Misti,Avenida Trapìche - Lt. 16b LO Chacra Cerro Pan. Norte Km. 22,Comas,551 7626,Trapiche,90,9
7,Cancha La Bombonera De Trapiche,Av. TRAPICHE alt. km 4.3 Los Huertos de Tungasuca,Comas,967 733 141,Trapiche,90,10
8,Campo Deportivo Los Inkas Jamaica,Av. Jamaica #151 Urb. San Agustín,Comas,524 8435,San Agustin,80,8
9,Deport Center 1,Av. El Maestro 380,Comas,957678908,Villa Hiper,120,10
10,La Cantera,Av Industrial 3652 Entre Sodimac y Poder Judicial ,Independencia,485 1848 ,Tahuantinsuyo,90,9
11,Gol Plaza,"Av. Pacífico 431 – Independencia (lado de Mega Plaza, junto al IPCNA)",Independencia,945 438 600,Los Jardines,80,7
12,Complejo Deportivo San Pio X,"Avenida Manuel Gonzales Prada , 269 ",Los Olivos,794 8024,Sol de Oro,90,9
13,Colegio Jose Abelardo Quiñones,Colegio Jose Abelardo Quiñones Cruce con Jr. Antonio Cabo y Tomas Catari ,Los Olivos,699 4037,Sol de Oro,90,9
14,Deport Center 2,Jr. Antonio Cabo Cuadra 5 A Espaldas del Estadio Guadalupano ,Los Olivos,407 0902,Sol de Oro,80,7
15,De Punta al Gol,Colegio Proceres de la independencia - Mz C Lt14 Km 19.5 Panamericana Norte,Los Olivos,975 556 788,Molitalia,90,10
16,El Golazo,Av. Antunez de Mayolo 1556,Los Olivos,967 831 111,El Olivar,80,8
17,Cancha Sintetica Champions ,"Avenida 2 de Octubre con, Av Sta Elvira",Los Olivos,990 661 668,Santa Ana,90,9
18,Camp Nou,Av. central Nro. 465 Urb. Sta luisa- 2da etapa,Los Olivos, 943 586 064,Santa Luisa,80,7
19,Mundo Gol,Institución Educativa 3080 Perú Canadá.,Los Olivos,947 931 875,Villa Sol,80,8
20,Complejo Deportivo Los Olivos,Jr. Las Flores s/n Urb. Los Naranjos III etapa,Los Olivos,996 419 067,Los Naranjos,90,9
